,ID,date,dept,annee_const,hauteur,etages,mat_murs,mat_toits,nb_angles,surface_bati_dur,surface_bati_leger,surface_parcelle,nb_bati_dur,nb_bati_leger,NbPieces 
10192,1122049,23/11/2015,40,1800,6,2,90,10,12,137.3,0,1293.583143,1,0,4p
3945,1350029,17/08/2020,56,1770,5.4,2,14,20,7,109,0,739.4502044,1,0,4p
10038,2325774,16/02/2018,77,1981,4.8,2,30,10,9,152.6,0,1188.034594,1,0,6p et plus
6626,1479677,18/08/2020,60,1900,4.1,1,20,20,5,112,0,1578.052012,1,0,2p et moins
7803,2195191,29/05/2019,62,1929,3.4,2,45,10,8,773,0,818.3400774,1,0,5p
8001,58498,19/12/2018,2,1800,6.8,2,10,10,8,50.4,0,92.00365928,1,0,4p
3482,52969,19/07/2018,2,1850,7.3,2,49,29,10,47.7,0,109.5316186,1,0,4p
3901,1394325,14/08/2015,50,1949,7.7,2,13,20,7,152.2,0,635.031263,1,0,6p et plus
10944,2362998,22/05/2020,95,1966,3.8,1,40,10,9,106,0,802.7448793,1,0,3p
13417,2466105,25/03/2019,71,1875,3,1,20,10,7,105.1,0,258.7068436,1,0,5p
4135,36086,09/02/2015,2,1890,7.7,2,40,20,11,134.6,0,915.6604763,2,0,6p et plus
7902,2034486,25/06/2018,66,1984,4.7,2,30,10,11,110.3,0,273.4370708,1,0,5p
3394,1803745,13/07/2017,54,1986,3,1,30,10,13,401.4,0,1938.392084,1,0,5p
461,550170,14/03/2020,29,1937,8.3,2,10,20,5,117.4,0,251.8844585,2,0,3p
14759,1285094,23/02/2018,41,1820,4,1,12,10,7,86.9,7.8,345.4292918,1,1,3p
4198,3418448,31/10/2019,95,1930,6.2,2,14,10,7,222.6,0,2030.460618,2,0,4p
1670,846118,21/10/2019,28,1995,5,2,90,10,7,65.2,0,385.6279913,1,0,5p
12784,1643989,23/05/2019,44,1964,3.7,1,50,20,5,73.2,0,449.2761825,1,0,4p
416,1316501,18/09/2020,54,1977,6.5,2,50,10,5,357.9,283,10865.33648,2,1,6p et plus
11657,362956,26/06/2020,18,1976,4.3,2,50,10,5,90.7,1.6,300.5632748,2,1,4p
14270,473982,13/11/2018,18,1970,3.3,2,10,20,5,130.6,0,654.7426434,1,0,4p
10877,1838704,28/07/2016,63,1800,13,2,13,10,6,78.1,25.8,303.55619,1,1,3p
13936,719572,24/10/2018,29,1931,5.4,2,14,20,8,92.5,0,267.1382293,1,0,5p
11364,3395622,14/02/2019,95,1940,3,1,30,10,9,40.6,5.1,54.93122377,2,1,2p et moins
2644,1806750,08/02/2018,59,1972,6.6,2,46,10,5,88.9,3.4,429.3542984,1,1,6p et plus
3678,2642089,19/06/2015,95,1972,3.6,2,30,90,5,111.2,39.8,4676.452855,2,1,4p
10361,2325295,09/02/2018,77,1985,6.5,2,39,10,15,133.5,0,100.6978719,1,0,3p
13121,1031997,24/07/2018,34,2001,5.2,1,56,10,12,275.8,15,7272.964444,2,1,4p
3762,2381822,18/12/2020,95,1924,10.2,3,10,23,9,36.5,0,51.95634499,1,0,6p et plus
6247,2272273,23/09/2019,64,1984,3,2,20,10,20,114.5,0,819.4425545,2,0,4p
4209,2664441,26/06/2019,77,1988,4.5,2,90,10,NA,139.6,4.3,377.701074,1,1,4p
14374,2514235,07/03/2019,73,1975,8.7,2,24,90,7,121.9,0,771.9826318,1,0,6p et plus
6329,2075604,20/05/2020,86,2006,3,1,50,10,11,89.2,0,1605.891646,1,0,4p
12067,1328953,20/08/2016,44,2014,6.3,2,30,10,6,102.8,0,470.9961583,1,0,4p
825,1402699,15/01/2020,59,1921,9.5,2,40,10,15,219.3,0,1252.745059,2,0,5p
9678,2314104,19/12/2018,77,1962,5.2,1,45,10,NA,138.2,0,580.3163116,1,0,3p
14282,1913186,17/05/2018,62,2013,3,2,30,10,NA,104.9,18.7,489.0169801,1,1,4p
13993,883430,14/03/2016,33,1971,4.6,1,40,10,17,233.1,0,773.6025115,1,0,6p et plus
10512,832440,09/08/2016,31,1805,8.1,2,20,10,8,46.4,0,46.84484152,1,0,5p
4131,1441861,20/07/2017,42,1971,10.4,1,29,10,10,285.7,0,437.5052737,1,0,3p
9583,2960059,31/08/2017,88,1972,5.7,2,50,90,5,174.7,0,2770.614848,1,0,5p
6401,1207897,02/07/2015,44,1900,5.4,1,50,20,8,101,0,316.8851084,2,0,5p
11968,371194,29/03/2019,13,1974,3.4,1,49,10,12,48.4,0,50.21310418,1,0,5p
3378,1408118,06/02/2017,41,1928,5.5,2,10,10,25,154.2,0,602.9376172,1,0,5p
5595,2829895,20/01/2016,95,1966,5,1,34,10,5,21.9,0,4779.074973,1,0,4p
11103,320868,01/10/2018,13,1993,5.7,2,50,10,18,39.7,0,39.66070827,1,0,5p
1807,313103,02/07/2015,14,2009,5.3,2,50,20,5,167.5,3.1,489.7274591,2,1,6p et plus
12857,993890,29/11/2019,31,1977,4.4,1,46,10,10,124.1,0,767.2932572,2,0,5p
14620,884451,07/02/2020,39,1972,4.8,2,10,10,5,78.4,0,188.2451925,1,0,4p
6627,1809382,30/03/2016,62,1880,5.3,2,12,19,8,81.6,0,430.273559,1,0,5p
8123,1303646,20/04/2020,54,1992,3.7,2,50,10,11,161.2,0,738.6293732,2,0,6p et plus
6578,2583974,15/01/2016,88,1964,6.2,2,50,10,5,98.1,14.8,989.9070385,2,1,6p et plus
3318,1555844,20/09/2017,44,1920,4.5,1,15,20,15,68.3,0,303.3234869,1,0,4p
12032,2371688,13/12/2017,71,1986,5,1,25,10,7,67.7,0,512.3406926,1,0,5p
11063,1953894,10/11/2015,72,1930,4.5,2,41,20,6,67,13.2,288.8076631,1,1,3p
13819,343527,17/11/2017,13,1870,7,2,20,10,19,17.5,0,35.55961431,1,0,6p et plus
14404,820722,15/07/2019,27,1967,5.4,1,45,90,5,197.5,0,990.5918655,1,0,5p
2215,2088163,09/08/2019,59,1981,3.7,2,40,20,10,126.7,0,1007.29889,2,0,6p et plus
2600,545585,06/12/2018,22,1971,3,2,25,20,5,72.9,0,272.8478617,1,0,6p et plus
13975,809684,03/04/2020,35,1936,5.7,2,10,20,13,24,0,405.5529915,2,0,4p
8753,458799,02/04/2019,15,1900,7,2,10,20,6,100.8,6,4697.023512,1,1,4p
8164,2644694,22/10/2015,95,1983,6.9,2,50,10,11,158,0,495.3801502,2,0,4p
201,3010471,28/07/2017,91,1953,4,1,56,90,9,76.3,4.4,338.0209076,2,1,4p
8059,724709,26/09/2017,26,1996,4.5,1,32,10,16,86.7,0,88.21187712,1,0,4p
12294,1067589,25/01/2019,33,1927,4.5,1,50,10,12,155.6,0,155.7834747,1,0,3p
10336,813332,26/10/2020,35,1998,5.1,2,50,20,15,119.4,0,1049.508739,1,0,4p
13702,1256764,08/12/2015,44,1995,4.4,2,30,20,14,69.4,0,752.9031904,1,0,5p
9685,1500525,18/05/2020,61,1820,4.9,2,10,10,5,103.6,0,681.2030534,1,0,6p et plus
5212,1985530,16/06/2017,59,2009,3.9,1,49,10,9,81.3,0,361.1840751,1,0,5p
3737,2187939,28/10/2020,91,1980,4.8,2,45,10,7,127.1,0,242.6816725,2,0,6p et plus
8396,513719,24/12/2020,27,1961,5.5,1,24,10,5,127.9,7.7,672.1692724,2,1,3p
10609,649277,23/12/2019,22,1914,8.3,3,10,20,6,88.3,0,164.7527357,2,0,3p
1637,3199648,21/06/2019,91,1850,5.5,2,10,19,13,1234.1,0,3161.623523,2,0,5p
2760,1753530,26/08/2015,64,1800,3.8,1,90,10,9,105.3,0,819.716205,1,0,5p
1115,380140,16/02/2015,17,1984,3.4,2,50,10,14,87.2,0,644.26752,1,0,4p
8611,53628,14/09/2019,2,1957,5.3,2,40,10,8,36.6,3.2,92.97311578,2,1,5p
3851,422694,16/12/2016,17,1981,3,1,35,10,5,54.5,0,121.8530888,1,0,3p
11495,789054,11/10/2016,30,1970,6.8,1,50,10,11,202,0,199.6351174,1,0,4p
1416,674087,06/07/2016,27,1999,6.4,1,30,10,7,78.9,0,600.9689138,1,0,5p
1279,298111,30/08/2017,12,1800,9.7,2,10,10,6,188.3,0,410.2452176,2,0,4p
13156,1562713,07/09/2020,63,1900,7.3,2,15,10,5,124.7,28.5,873.85263,1,1,4p
8227,748658,09/12/2016,29,1949,5.4,1,50,20,7,160.3,0,844.8390482,1,0,3p
892,290893,18/12/2020,15,1962,4.8,1,14,10,8,140.7,0,459.7267587,2,0,4p
301,2567264,24/08/2015,93,2001,7.7,2,35,13,9,138.9,7.9,4865.878741,1,1,4p
11802,1681223,12/04/2019,45,1963,3.4,1,49,10,11,223,72.7,4274.393568,1,1,3p
14651,735279,03/12/2015,30,1969,6.5,2,40,10,7,280.7,0,2921.389728,2,0,5p
7727,1106090,18/09/2020,45,1900,8.1,2,12,20,15,69.8,0,333.0607902,2,0,4p
320,1871380,12/11/2018,61,1975,5.2,3,15,10,5,39.4,0,67.4414675,1,0,4p
8831,1547198,04/11/2020,62,1976,4,1,90,10,9,72.3,29.9,766.4647006,1,1,6p et plus
9986,2870290,11/10/2018,93,1900,5,2,30,30,NA,159.5,10.4,1065.750423,1,1,3p
13969,528364,06/11/2019,17,1876,3.9,1,12,10,8,75.6,0,746.7783835,1,0,3p
10256,1108363,18/05/2020,45,2004,4.6,1,30,40,5,64.7,0,275.191219,1,0,5p
8097,224645,09/01/2020,12,1850,5.8,2,12,10,10,58.9,0,59.03821756,1,0,2p et moins
5753,66135,14/06/2018,3,1850,4.4,1,1,1,8,71.7,0,89.95236952,1,0,2p et moins
2015,1064877,09/11/2018,34,1963,6.6,2,40,10,5,68.9,0,546.5823485,1,0,6p et plus
10217,572946,13/02/2016,23,1900,9.3,2,10,10,7,131.9,0,497.6341499,1,0,4p
5585,2693655,10/07/2019,77,1912,6.1,2,10,10,9,172.7,0,880.1109022,1,0,5p
2967,944026,23/10/2020,41,1800,5.2,2,12,20,13,220.8,0,765.9342438,2,0,6p et plus
9696,3081835,22/08/2019,87,1990,3.8,1,50,10,17,39.4,0,87.20668795,1,0,4p
6294,1529792,26/06/2019,42,1900,7.9,2,10,10,5,125.2,0,979.6564126,1,0,4p
12882,3258076,20/10/2017,95,1974,5.5,1,45,10,NA,118.8,0,991.160103,1,0,6p et plus
5100,490675,11/04/2017,17,1800,4.9,3,20,10,16,48.7,0,133.2961522,2,0,6p et plus
4566,3238248,31/01/2017,95,1987,3.5,2,90,10,12,171.3,0,171.5078805,1,0,5p
13283,60109,19/02/2020,3,1981,4.3,2,35,10,7,80.3,0,250.7134947,2,0,4p
8594,326436,24/01/2020,17,1830,3,1,10,10,7,87.8,4.5,399.7663631,1,1,2p et moins
8417,2609385,27/09/2017,77,1820,4.5,2,10,10,10,109.9,8.7,274.5434567,1,1,4p
5512,348247,10/04/2020,18,1978,3,1,30,10,7,69.8,0,256.2983236,1,0,3p
460,1099679,22/06/2020,45,1960,7.2,2,24,10,7,181.2,0,981.6232247,1,0,6p et plus
2981,901468,08/03/2018,33,1992,4.1,1,40,10,13,102.3,269.6,492.2384946,2,1,5p
11935,2594422,17/11/2015,94,1975,3,1,46,19,23,232,0,256.7940868,2,0,3p
3293,1826290,13/12/2018,59,2001,4.8,1,30,10,7,252.7,0,941.3610132,1,0,4p
11372,3213595,27/09/2017,94,1972,5.1,2,10,10,5,122.7,0,324.1860623,2,0,3p
11896,301697,28/12/2015,13,1983,4.2,2,50,10,9,66.9,8.2,261.3983433,1,1,4p
7515,2868921,30/07/2018,93,1961,7.1,2,50,90,5,163.1,0,567.9861124,2,0,5p
1073,26293,12/01/2018,1,1700,9.7,2,90,10,6,187.4,8.8,938.1187104,1,1,4p
11694,1627415,18/10/2016,56,1984,4.9,2,90,20,11,176.5,41.1,1074.232055,2,1,5p
11220,2305021,22/06/2017,69,2012,5.2,2,20,10,5,52,0,70.29485185,2,0,4p
14413,2577501,06/11/2018,85,1880,8.3,2,10,10,10,74.1,0,1106.490909,1,0,4p
7615,2356432,17/02/2017,71,1880,5.7,2,10,10,7,105.6,0,893.0566961,1,0,5p
5545,1814615,28/02/2017,54,1954,5.5,2,20,10,5,228.7,0,3333.908919,2,0,4p
8377,337950,02/09/2020,17,2006,4,1,40,10,5,96.2,0,659.3356107,1,0,3p
7606,1772322,23/10/2017,52,1956,7.7,2,40,10,5,171.7,5.3,2862.741657,1,1,5p
1767,903833,28/02/2020,40,1994,3.1,1,0,0,5,113.7,0,113.9532035,1,0,4p
11910,2027445,04/10/2019,59,1957,3.4,1,34,30,7,326.6,0,995.2452494,2,0,3p
8027,1814203,04/02/2017,54,1956,6.8,2,20,10,9,64.8,13.4,340.5649527,2,1,5p
11132,2731593,22/10/2018,91,1997,4.7,2,10,10,15,80.5,0,321.2102258,1,0,6p et plus
8165,90598,09/09/2019,3,1800,5.6,2,29,90,9,46.1,0,253.5925977,1,0,5p
3589,342314,10/06/2016,14,1800,3.1,2,12,20,5,97,0,166.9216753,1,0,4p
5720,2331941,20/02/2017,70,1997,7.3,2,50,10,13,278.5,0,750.42576,2,0,6p et plus
11886,1571825,18/09/2019,44,1972,7,2,90,90,6,15.1,0,14.9421898,1,0,5p
13608,1568178,29/07/2019,44,1988,5.6,2,39,20,7,89.1,0,175.5235857,1,0,6p et plus
9507,1552677,13/11/2015,59,1958,5.5,2,45,10,7,64.9,0,372.862029,1,0,4p
4877,504691,28/06/2019,17,1900,4.4,2,10,10,5,75.8,0,605.3201746,1,0,3p
4853,3164522,23/08/2017,93,1965,4.1,1,30,10,9,71,0,1654.768078,1,0,6p et plus
4035,327757,16/03/2020,17,1971,3,1,45,10,5,153.2,1.8,159.9912048,1,1,3p
2459,2502901,08/11/2019,72,1972,4.9,1,50,10,5,59.8,0,95.34724594,1,0,3p
13232,2233063,07/06/2016,77,1990,4.7,2,90,10,8,141.7,0,140.6170716,1,0,5p
7943,1093417,02/07/2019,33,1984,4,2,40,10,19,210.2,0,674.2663278,1,0,5p
7869,2932448,15/06/2017,87,1781,4.7,2,10,13,15,88.5,0,1284.659107,1,0,4p
10428,2068110,26/12/2016,72,1976,4.7,1,10,20,5,89.9,10.2,119.8734853,2,1,5p
7454,2867339,31/05/2018,93,1935,9.8,2,20,10,8,1099.6,0,3906.910625,2,0,6p et plus
9192,2616452,30/03/2018,86,1870,8.2,1,20,90,8,156.1,7.1,886.0816007,2,1,6p et plus
10255,918600,18/09/2020,40,1950,3,1,40,10,12,137.8,0,476.4821341,1,0,6p et plus
3156,679604,19/04/2016,27,1835,3.6,2,40,20,6,111.8,0,632.047779,1,0,2p et moins
183,758788,18/12/2020,34,1995,3.2,2,50,10,7,142.2,12.8,418.8566161,1,1,4p
2065,1145597,10/04/2015,41,1972,6.1,1,56,10,5,160.3,0,385.0723964,1,0,3p
260,2630782,12/06/2015,95,1930,4,2,10,10,9,215.9,0,453.163423,2,0,5p
9069,1427417,24/08/2016,47,1976,5.6,2,43,10,5,147.1,0,1099.723751,2,0,2p et moins
12045,2527989,31/08/2017,76,1955,7.9,2,34,90,9,131.3,2.5,744.1067936,1,1,5p
11542,2660300,13/06/2017,78,1975,6.4,2,30,10,15,72.2,0,548.7685323,1,0,5p
1667,2082541,20/12/2019,59,1967,3,2,40,90,9,212.7,0,2828.266027,1,0,4p
11734,1982747,29/12/2017,59,1830,3,1,4,1,NA,79.2,0,808.7034437,1,0,2p et moins
4492,1835734,15/11/2018,59,1900,5.4,2,40,10,13,119.4,0,1689.652601,1,0,3p
9666,68588,10/11/2016,3,1978,5.5,1,35,10,18,102.3,11.2,841.27975,1,1,5p
6871,2450501,02/04/2019,71,1956,4.1,1,35,10,5,38.8,0,37.73684185,1,0,4p
7824,2218467,23/12/2019,62,1952,6.5,2,45,10,5,39.3,0,276.4927874,2,0,4p
4055,2368144,30/10/2020,95,1988,3,2,1,1,5,102.7,0,1108.240675,2,0,4p
2971,1322178,03/06/2016,44,2009,3.2,1,35,1,8,83.6,6,120.4261284,2,1,4p
6518,1582028,06/01/2018,50,1974,8.3,2,50,10,5,111.8,5.8,1071.365405,1,1,6p et plus
8634,2957725,24/06/2017,88,2006,4.4,1,30,10,13,91.6,0,555.1845355,1,0,4p
14512,885002,19/12/2018,31,1904,4.4,2,10,10,12,159.6,0,552.8306348,1,0,6p et plus
2120,1282508,18/07/2018,41,1900,3.8,1,10,20,7,135.3,12,524.9403618,1,1,3p
1826,2651620,11/07/2016,91,1981,4.7,2,35,10,7,93.3,0,566.4287528,1,0,4p
3377,1302397,06/02/2020,54,1885,6.2,2,20,10,5,156.2,0,608.1449277,1,0,3p
13297,3016939,11/01/2017,91,1976,5.8,2,40,10,7,77.3,7.4,267.2331783,1,1,4p
59,2032031,24/04/2015,74,2003,3.6,1,20,10,9,119.4,0,742.3948997,1,0,4p
1941,3093613,15/02/2019,87,2002,7.3,1,20,10,5,144.1,0,433.6200856,2,0,5p
11068,2326882,17/10/2015,84,2006,5.7,1,50,10,13,613.6,0,1039.639944,1,0,4p
9512,1646069,12/06/2020,69,1972,4.5,2,20,10,7,76.5,0,948.8544955,1,0,6p et plus
12956,975554,07/08/2020,42,1870,6.4,2,19,10,6,74.7,0,198.840086,2,0,3p
2177,1455078,31/08/2016,49,1850,6.9,2,10,20,12,123,0,464.3127058,2,0,5p
8423,711477,21/10/2016,29,1977,3.8,2,40,20,7,134.4,0,1219.344989,1,0,5p
8051,1256799,27/11/2015,44,2005,4.9,1,50,20,11,102.8,18.4,201.0044283,2,1,5p
10980,1537395,19/01/2017,44,1935,3.6,1,35,10,9,103.4,5,358.8911303,2,1,3p
10931,2325835,09/03/2016,79,1977,3.5,1,50,10,7,169.9,0,1356.819858,2,0,4p
10074,762287,30/04/2020,34,1880,12.3,3,10,14,7,20.1,0,20.96414897,1,0,4p
13784,2105589,27/04/2018,71,1973,4.8,1,20,10,7,104.1,0,253.5701455,2,0,4p
6158,2020575,26/02/2016,70,1978,5.2,1,30,10,8,168.3,0,175.3264826,2,0,3p
8425,2086672,02/10/2020,86,2012,3.8,1,10,10,7,52.9,0,87.6715545,1,0,5p
11722,224342,09/02/2018,10,1957,3.9,2,40,10,9,110.8,0,2383.789878,1,0,4p
1478,897138,15/11/2019,29,1934,3.8,2,14,20,7,79.5,0,319.8579072,1,0,3p
6379,1426707,26/07/2017,41,1900,3.8,1,34,19,9,128.7,0,577.4028485,1,0,2p et moins
11688,623227,03/10/2017,22,1974,4.3,2,50,20,5,1012.5,0,1013.958126,1,0,5p
8727,2701730,28/02/2019,77,1985,3.5,2,49,10,6,244.6,0,2489.57125,1,0,4p
13818,1383798,27/09/2018,44,1852,5.2,2,10,20,12,178.8,47,3057.57312,1,1,3p
6502,89885,27/05/2019,3,2011,3.2,1,4,1,5,59.4,0,1270.52952,2,0,4p
4271,2383143,27/12/2017,72,2015,6.9,2,40,10,19,54.7,0,239.057769,1,0,3p
1171,706412,10/03/2017,25,1980,4.3,2,50,10,8,48.5,27.2,1070.371851,1,1,6p et plus
7611,2276310,09/11/2018,76,1979,4.6,1,50,10,11,193.7,0,1355.295295,2,0,4p
3968,1274813,27/04/2019,35,1978,5.6,2,50,20,12,149.9,0,295.1221828,1,0,6p et plus
4631,775080,19/12/2017,28,1963,3.5,1,40,10,5,147.4,0,1178.038181,2,0,4p
8222,383993,27/07/2015,17,1920,3.7,1,26,10,9,156.2,47.9,1241.908285,2,1,4p
1348,2543127,15/11/2017,76,1900,3.3,1,90,20,5,551.1,0,382.5055703,1,0,3p
11964,1709477,23/06/2016,59,1969,3,1,40,10,9,239.2,0,846.919883,1,0,4p
13401,1284070,21/10/2019,35,1964,5.4,2,10,20,8,205.6,0,265.9666817,2,0,4p
4089,2108084,06/09/2018,71,1946,4.2,1,15,19,17,152.2,0,162.0488391,1,0,4p
3667,986026,21/07/2017,32,1800,5.4,2,10,10,7,382.5,109.7,1820.638128,1,1,4p
2476,2480593,03/05/2019,72,1850,3.8,2,21,12,16,68.1,0,215.781305,1,0,5p
7883,2278125,01/03/2019,64,1970,5.7,1,15,23,5,87.3,0,335.0038885,1,0,6p et plus
2504,2399206,15/01/2019,69,1987,4.5,2,23,13,17,94.1,0,802.4444114,1,0,5p
7811,164685,09/10/2017,6,1969,6.2,1,39,10,15,115.1,0,503.01153,1,0,3p
14749,1117079,09/10/2018,35,1991,3.7,2,30,20,9,118.6,0,300.3191138,1,0,6p et plus
8418,1653510,24/02/2020,69,1900,5.4,2,10,10,5,74.4,20.9,94.12144859,2,1,6p et plus
7227,1297323,29/12/2017,37,2000,3,1,50,20,7,75.8,0,398.3213475,2,0,4p
10385,1029544,10/06/2016,34,1800,11.1,2,20,10,11,163,12.9,1199.896723,1,1,2p et moins
13364,2198791,30/05/2016,76,1972,9.9,2,15,30,10,133.1,11,208.9052125,1,1,3p
14395,1674837,06/10/2015,62,1922,3.7,2,40,10,16,79.7,0,347.2793439,1,0,5p
5411,624758,18/04/2019,21,1940,5.7,2,50,10,12,150.2,0,786.0710367,2,0,3p
10280,557287,10/12/2016,22,1957,3.9,2,50,20,11,83.5,0,114.9896275,1,0,5p
14542,28277,06/12/2019,1,1992,3.1,1,20,10,7,40.7,127.8,342.07444,1,1,3p
13750,1634107,17/12/2019,44,1935,3,1,50,20,8,64.8,0,1050.322498,1,0,2p et moins
10455,1239788,27/04/2018,40,1995,4.2,2,40,10,7,102.2,5.9,370.2038284,1,1,6p et plus
7006,1154609,18/11/2020,49,2002,3,2,50,20,8,114.2,0,542.8132126,1,0,5p
6847,1416043,14/12/2018,44,1959,3,2,50,20,5,119.4,0,569.4652055,1,0,4p
4249,1850776,08/10/2020,77,1955,5.4,1,24,10,5,113.2,0,299.6397654,2,0,3p
11449,1539665,22/06/2018,49,1936,8.4,1,10,30,9,331.4,82.8,3688.005576,2,1,6p et plus
511,2868479,18/08/2017,85,1970,5.1,2,15,10,13,165.6,0,166.5616698,1,0,5p
5260,2377305,30/06/2017,72,2010,4,2,90,10,5,86.5,12,480.1017664,1,1,5p
12859,2307874,25/06/2019,65,2014,3.7,1,4,1,7,105.7,0,533.253461,1,0,4p
7797,2312155,10/03/2015,84,1992,6.5,1,50,10,9,103.5,0,626.9593403,2,0,4p
11887,3278662,28/08/2017,95,1954,4,3,20,10,12,190.3,0,984.0912389,2,0,5p
13223,2504651,25/07/2017,76,1963,6.7,2,40,20,5,133.1,6.2,1435.898385,1,1,5p
13693,1896311,17/12/2020,78,1977,3,1,30,90,11,181.8,0,1250.447453,2,0,2p et moins
1635,380861,19/09/2019,13,1981,7.8,2,50,10,12,45,0,44.9806097,1,0,6p et plus
5861,1986015,11/07/2017,59,1960,6.1,2,0,0,14,223.1,19.9,1016.572054,2,1,3p
8987,2781238,30/06/2017,83,1978,8,2,50,10,9,178.2,241.3,2856.576864,2,1,6p et plus
1886,222169,09/03/2016,11,1964,6.3,2,14,10,10,1361.4,0,519.136979,1,0,5p
9892,1715487,26/06/2020,72,1897,5.3,2,10,20,5,64.8,0,90.04990816,1,0,4p
3886,1993891,28/05/2018,64,0,4.5,1,50,10,7,63.6,0,266.6814684,1,0,5p
2443,506448,07/08/2019,17,1978,5.1,2,30,10,6,117.6,0,948.1849185,2,0,3p
7830,2222529,08/08/2016,77,1971,4.9,2,40,10,7,111.2,0,115.6742157,2,0,4p
4315,2644913,02/04/2016,91,1972,5.1,2,40,10,9,128.2,0,407.6120923,2,0,6p et plus
1235,653070,06/05/2019,22,1955,6.3,2,10,20,5,78.7,0,76.89962114,1,0,6p et plus
11302,67159,01/08/2016,3,1966,5.9,1,34,10,5,93.7,0,555.5163555,1,0,4p
11117,1668116,23/09/2015,62,1920,4.7,2,40,10,8,65.2,0,78.64312472,1,0,4p
1531,2246806,10/09/2018,76,1951,7.3,2,45,10,8,151.7,0,554.8987763,1,0,6p et plus
4325,1521012,16/06/2017,44,1957,3.4,1,45,10,11,59.6,0,113.8950256,1,0,3p
4626,1663764,23/02/2018,54,1976,4.6,1,30,10,13,125.4,0,187.0436563,1,0,4p
8217,1116241,26/04/2019,33,2015,4.1,1,40,10,5,41,0,24.49961679,1,0,4p
3746,2382145,09/07/2016,81,2010,5.7,1,34,10,5,115.9,0,280.6061594,2,0,3p
1039,1505995,17/04/2015,56,2013,3.8,2,50,20,5,501.8,34.3,1482.947829,1,1,5p
14281,3069844,01/04/2019,87,1969,5.2,1,0,0,9,89,0,806.2755598,1,0,6p et plus
4966,1795195,27/11/2015,66,1952,5.5,1,30,10,5,92.3,0,162.7691903,1,0,2p et moins
799,1837746,01/03/2018,60,1988,3.1,1,90,10,5,129.8,16,1413.868605,2,1,5p
1880,2158595,25/06/2018,72,1880,7.1,2,10,12,6,56.6,0,209.1180115,1,0,4p
12796,1031527,10/07/2018,34,1989,7.2,1,50,10,11,132.1,0,476.203354,1,0,3p
14890,279834,06/03/2015,13,1974,3,1,49,10,16,37.7,0,37.49214976,1,0,4p
7904,3211536,28/07/2017,94,1972,5.3,2,30,10,5,219.9,0,327.7731791,1,0,5p
13543,643220,03/08/2015,28,1700,7.9,2,14,23,6,175.9,0,1054.040951,1,0,5p
3753,1696217,13/07/2016,59,1977,4.8,2,34,40,7,102.6,0,691.5853315,2,0,6p et plus
8070,3363925,10/10/2019,94,1987,7.4,2,90,10,10,81.1,0,540.7805574,1,0,5p
4300,572177,12/09/2018,22,1963,5.5,1,35,20,5,94.5,0,452.8428414,1,0,5p
9527,2685848,25/10/2019,77,1789,6.6,2,10,10,10,126.9,0,184.3814518,1,0,4p
4027,2197753,25/02/2015,79,1700,3.7,1,15,10,15,94.6,0,904.7278708,2,0,3p
6001,1715995,02/07/2020,72,1775,3.7,2,24,10,7,137.1,0,948.8462227,1,0,6p et plus
7197,1016004,27/11/2020,44,1973,5,2,50,20,7,36.3,0,190.2428317,1,0,4p
11859,2009247,23/08/2016,69,1967,6.8,1,34,10,5,67.1,0,111.1521884,1,0,6p et plus
13948,2103212,24/04/2020,87,1800,4.6,2,13,10,8,255.5,0,314.3389089,2,0,4p
6709,335472,29/05/2020,17,1852,4.6,1,12,10,5,112,0,596.0609122,1,0,4p
8630,3094074,24/01/2019,88,1720,6.3,1,10,10,7,146,0,563.2711064,1,0,6p et plus
1946,1927615,07/08/2020,79,1870,6.3,2,10,20,14,90.1,0,367.0205488,2,0,5p
12328,2061804,18/12/2015,76,1971,7,2,39,10,NA,69.5,0,69.71089402,1,0,5p
14767,3194392,26/09/2019,91,1990,4,2,30,10,8,39.2,0,381.975442,1,0,5p
6553,2525816,14/06/2016,86,1850,5.2,2,10,10,5,268.8,0,346.1828169,1,0,4p
8110,1792343,05/12/2017,53,1900,7.8,2,20,20,12,139.5,1.9,1296.822595,1,1,4p
12624,1514402,18/09/2018,49,1984,3.5,2,35,20,NA,92.3,0,681.2235189,1,0,3p
8635,1967342,27/01/2015,72,1970,5.3,1,13,13,5,67.7,0,42.67150317,1,0,5p
12967,2506208,27/03/2015,92,1974,3.1,2,36,20,9,80.2,0,3383.951098,1,0,6p et plus
10841,1660773,07/12/2018,54,1800,5.3,2,10,10,8,108.9,0,520.3513575,2,0,4p
4981,2384871,19/05/2020,95,1950,8.9,1,40,10,9,67.6,0,120.0587216,1,0,4p
1291,1664259,24/02/2015,62,1939,5.5,2,45,19,12,170.3,0,953.4301793,1,0,4p
10126,1141529,16/01/2019,33,1974,3,1,40,10,5,69,0,128.0373884,2,0,4p
7950,2542822,07/11/2017,76,1990,3,2,13,20,19,124.6,0,102.6914185,1,0,2p et moins
11431,3383421,20/05/2019,95,1800,3.7,3,10,10,5,142.8,0,1039.614229,2,0,6p et plus
2828,1141580,01/02/2019,33,1880,6.3,2,14,10,15,77.7,0,591.2430679,1,0,5p
754,1161021,26/10/2020,49,1860,4.6,2,10,20,6,148.2,0,942.8447366,1,0,6p et plus
1723,577320,27/04/2017,21,2003,4.1,1,20,10,7,60.8,0,122.3200344,1,0,5p
