,ID,date,dept,annee_const,hauteur,etages,mat_murs,mat_toits,nb_angles,surface_bati_dur,surface_bati_leger,surface_parcelle,nb_bati_dur,nb_bati_leger,NbPieces
5798,2823591,23/03/2019,80,1900,6,2,40,20,9,123.3,0,656.4742676,2,0,3p
6145,2267292,20/06/2019,64,0,5.2,2,20,10,14,155.3,2.8,689.9370953,1,1,5p
11807,304643,12/11/2020,16,1925,3.8,1,20,10,8,59.1,0,104.6132503,1,0,3p
11177,2803801,04/07/2018,92,1937,6.9,3,24,23,15,37.9,0,179.0350234,1,0,6p et plus
14967,913967,20/10/2016,33,1960,6.6,2,35,10,9,77.7,0,298.6528002,1,0,5p
1955,1830542,12/01/2017,54,1960,4.8,2,10,10,8,104.4,0,470.7527788,1,0,6p et plus
2683,214734,03/04/2020,11,1991,3.9,2,50,10,12,98.6,11.2,502.695232,1,1,6p et plus
12249,1992766,25/04/2018,64,1996,3,2,26,10,11,101.2,0,3611.873385,1,0,5p
4484,2495063,20/11/2017,74,1993,4.5,2,60,10,7,70.8,0,278.0000097,1,0,6p et plus
6513,224352,27/05/2016,11,2002,3.5,1,40,10,11,129.3,0,666.3858845,1,0,4p
2142,1441040,07/10/2020,59,1922,4.4,2,0,0,8,97.8,0,1514.111273,2,0,5p
14252,2224242,29/01/2015,80,1926,6.1,2,40,10,5,581.1,0,3306.305467,1,0,3p
7347,1045426,10/02/2017,33,1947,3,1,40,10,5,98.8,0,1905.623524,1,0,2p et moins
9760,2954913,07/11/2019,83,1980,6.1,2,50,10,9,77,0,563.4453301,2,0,5p
14538,1464482,20/11/2017,42,1850,5.3,1,0,0,11,166,0,676.3936325,1,0,2p et moins
10781,819804,10/06/2017,29,1908,6.3,1,50,20,6,187.8,0,748.8899469,2,0,5p
14400,1747923,22/11/2019,49,1975,3,2,50,20,15,63.9,1.3,249.9205722,1,1,5p
11114,2152087,21/06/2019,61,1976,5.3,1,50,10,5,107.6,0,843.5880711,1,0,5p
11224,1657719,10/03/2015,62,1973,7.2,2,40,10,5,318,0,800.0270614,2,0,6p et plus
13494,745332,08/04/2020,34,1998,3,1,50,10,10,214.1,0,1291.651186,1,0,4p
8052,2391359,24/02/2017,72,2002,3,1,40,10,7,135.3,0,341.0704945,2,0,5p
11050,1252888,25/03/2017,36,1977,3,1,50,13,10,128.4,0,179.7187412,2,0,5p
9610,585644,28/07/2016,24,1977,4.3,1,40,10,5,110.4,0,441.4915462,2,0,3p
440,261343,06/07/2018,12,2004,5.5,3,50,90,7,94.1,0,652.91042,1,0,5p
5536,1758151,06/09/2016,60,1994,3.7,2,90,10,15,72.1,0,84.57677584,1,0,5p
2553,1625199,26/08/2015,60,1980,4,2,90,10,6,199.5,0,555.4746224,1,0,5p
9837,694528,28/07/2020,33,1987,3.6,1,40,13,11,90.4,0,300.1053048,1,0,6p et plus
12951,2808291,04/02/2016,95,1987,3,2,90,10,14,49.5,0,122.9346356,2,0,5p
2199,304875,04/11/2020,16,1967,3.5,1,50,10,7,107,0,146.0363934,2,0,3p
2615,1041166,09/11/2015,37,1870,4.6,1,20,20,9,318.1,43.6,1006.977911,2,0,3p
1224,2156108,29/06/2015,78,1974,3,1,45,10,12,148.5,0,690.3062851,1,0,6p et plus
10225,3080641,02/08/2019,87,1924,4.3,1,10,10,17,131.4,0,236.4336492,1,0,3p
2926,1135840,29/11/2019,33,1938,3,1,40,10,19,192.1,161.1,2218.905365,2,1,4p
14126,663134,06/11/2020,33,1950,3,1,34,10,5,72.7,0,89.3518614,1,0,2p et moins
746,2068770,29/12/2017,62,1959,6.8,2,40,20,6,86,0,186.0883113,1,0,5p
4761,272186,18/02/2020,13,1805,6.4,2,10,10,6,197.7,0,1384.618697,1,0,3p
5934,1819005,04/12/2020,77,1983,5.5,2,40,10,5,157.2,0,1973.341576,1,0,6p et plus
1312,291767,05/04/2019,11,1870,13.2,2,10,10,10,92.5,0,391.7399207,1,0,6p et plus
13724,694660,16/02/2016,28,1950,3.5,1,40,20,10,97.3,0,484.8810288,1,0,3p
3152,1741164,02/11/2015,64,1989,3,2,50,20,11,143.2,0,519.411934,1,0,4p
13094,2645403,04/10/2017,78,1984,3,3,59,10,5,127.2,0,1031.460677,1,0,6p et plus
5776,1766879,01/02/2018,59,1997,3.5,2,40,10,8,55.7,0,131.688072,1,0,5p
1697,1752685,17/10/2016,60,1851,5.6,2,10,10,8,220.7,0,415.5553047,2,1,4p
3072,1384523,21/11/2015,50,1830,5,1,10,30,7,33.7,0,60.98073166,1,0,2p et moins
5262,2223052,11/07/2015,80,1923,5.6,2,41,20,10,108.6,0,866.7137552,1,0,4p
2536,2007506,29/12/2020,83,1989,3.9,1,10,10,NA,177.7,0,1906.196305,2,0,3p
8083,2217240,06/08/2019,62,1980,5.1,2,40,10,7,147.4,36.7,1593.860465,2,1,6p et plus
281,248346,21/06/2018,11,2003,6.1,1,40,10,10,62.8,0,68.00572475,2,0,4p
60,1829778,20/12/2016,62,1979,6.1,2,30,10,5,88.1,0,391.5585374,1,0,5p
3086,1796229,31/01/2020,77,1958,3,1,56,90,7,152.4,0,153.9741927,1,0,2p et moins
4113,1661396,30/09/2015,62,1924,4.4,1,40,20,NA,159.1,0,609.755345,1,0,6p et plus
11153,2470343,24/04/2015,91,1974,6.7,2,43,10,5,48.9,0,71.44272106,1,0,5p
1371,51636,05/03/2018,2,1849,6.5,1,0,0,18,110,0,280.4636392,1,0,2p et moins
3401,2842701,25/02/2017,84,1977,4.5,1,20,10,9,124,0,606.2524265,2,0,4p
13628,2183058,08/02/2019,62,1926,9.2,2,40,10,7,134.4,0,268.2392023,1,0,3p
14138,1887319,29/04/2020,78,1930,8.7,2,20,10,7,129,0,572.2431596,1,0,3p
3581,1143878,28/09/2018,37,1962,4.8,1,25,10,5,112.9,0,866.6589875,1,0,2p et moins
12724,963949,20/09/2018,33,1972,3.3,1,40,10,5,69.3,0,107.8993763,1,0,5p
4134,1931188,30/09/2020,79,2004,3.2,1,30,10,11,108.8,0,558.6013663,2,0,3p
14906,1572674,20/08/2018,50,1955,3.6,1,40,10,9,24.4,3.1,1544.644368,1,1,5p
3814,2378135,21/09/2020,95,1961,5.7,1,45,10,6,81.1,0,568.7170859,1,0,3p
1127,2998543,23/04/2019,85,1850,5.9,2,10,10,12,283.7,0,633.2885843,1,0,3p
8613,1149788,02/02/2018,37,1973,4.7,1,30,10,5,130,0,165.6729844,1,0,4p
6743,2702745,07/03/2017,80,1956,3,1,45,10,10,144.5,22.8,512.0712052,1,1,5p
13673,43266,18/05/2020,2,1974,4.7,1,59,10,11,104.3,0,103.7859388,1,0,5p
6725,1497502,25/07/2015,56,1964,5.3,2,15,29,7,171.6,32.5,772.3994412,2,1,6p et plus
5062,563122,26/03/2015,25,1990,3.6,2,30,10,11,119.3,0,471.1956463,2,0,5p
